Date,Price
2014-03-15,27.96
2014-03-16,27.5
2014-03-17,27.4
2014-03-18,27.47
2014-03-19,27.47
2014-03-20,27.4
2014-03-21,27.07
2014-03-22,27.47
2014-03-23,27.47
2014-03-24,27.67
2014-03-25,27.9
2014-03-26,27.95
2014-03-27,27.95
2014-03-28,27.95
2014-03-29,27.99
2014-03-30,27.99
2014-03-31,27.99
2014-04-01,27.95
2014-04-02,27.8
2014-04-03,27.5
2014-04-04,27.5
2014-04-05,27.77
2014-04-06,27.66
2014-04-07,27.54
2014-04-08,27.52
2014-04-09,27.79
2014-04-10,27.72
2014-04-11,27.5
2014-04-12,27.22
2014-04-13,27.07
2014-04-14,27.0
2014-04-15,26.76
2014-04-16,26.6
2014-04-17,26.6
2014-04-18,26.59
2014-04-19,26.6
2014-04-20,26.57
2014-04-21,26.56
2014-04-22,26.5
2014-04-23,26.32
2014-04-24,26.15
2014-04-25,26.29
2014-04-26,26.32
2014-04-27,26.31
2014-04-28,26.19
2014-04-29,25.99
2014-04-30,25.99
